ts,name,num_qubits,operational,pending_jobs,avg_cx_error,avg_readout_error
2026-06-11T00:05:32.032213+00:00,ibm_fez,156,True,1,,0.02406
2026-06-11T00:05:32.032213+00:00,ibm_marrakesh,156,True,0,,0.02911
2026-06-11T00:05:32.032213+00:00,ibm_kingston,156,True,1,,0.01688
2026-06-11T02:51:52.101127+00:00,ibm_fez,156,True,1,,0.02422
2026-06-11T02:51:52.101127+00:00,ibm_marrakesh,156,True,0,,0.0265
2026-06-11T02:51:52.101127+00:00,ibm_kingston,156,True,2,,0.01918
2026-06-11T10:11:19.290167+00:00,ibm_fez,156,True,2,,0.02106
2026-06-11T10:11:19.290167+00:00,ibm_marrakesh,156,True,0,,0.02749
2026-06-11T10:11:19.290167+00:00,ibm_kingston,156,True,1,,0.0198
2026-06-11T15:41:01.783891+00:00,ibm_fez,156,True,2,,0.02305
2026-06-11T15:41:01.783891+00:00,ibm_marrakesh,156,True,2,,0.02645
2026-06-11T15:41:01.783891+00:00,ibm_kingston,156,True,4,,0.04921
2026-06-11T20:12:25.195794+00:00,ibm_fez,156,True,18895,,0.01824
2026-06-11T20:12:25.195794+00:00,ibm_marrakesh,156,True,5,,0.02668
2026-06-11T20:12:25.195794+00:00,ibm_kingston,156,True,62,,0.04508
2026-06-12T02:48:26.588332+00:00,ibm_fez,156,True,1,,0.01824
2026-06-12T02:48:26.588332+00:00,ibm_marrakesh,156,True,6,,0.02464
2026-06-12T02:48:26.588332+00:00,ibm_kingston,156,True,2,,0.04508
2026-06-12T09:59:56.287975+00:00,ibm_fez,156,True,2,,0.02278
2026-06-12T09:59:56.287975+00:00,ibm_marrakesh,156,True,2,,0.02797
2026-06-12T09:59:56.287975+00:00,ibm_kingston,156,True,25,,0.0402
2026-06-12T14:41:04.692811+00:00,ibm_fez,156,True,7,,0.02174
2026-06-12T14:41:04.692811+00:00,ibm_marrakesh,156,True,8,,0.02797
2026-06-12T14:41:04.692811+00:00,ibm_kingston,156,True,42,,0.04057
2026-06-12T19:58:08.550306+00:00,ibm_fez,156,True,1,,0.02041
2026-06-12T19:58:08.550306+00:00,ibm_marrakesh,156,True,2,,0.02797
2026-06-12T19:58:08.550306+00:00,ibm_kingston,156,True,4,,0.01918
2026-06-13T02:40:45.432872+00:00,ibm_fez,156,True,1,,0.02117
2026-06-13T02:40:45.432872+00:00,ibm_marrakesh,156,True,0,,0.02532
2026-06-13T02:40:45.432872+00:00,ibm_kingston,156,True,0,,0.01636
2026-06-13T08:49:26.523473+00:00,ibm_fez,156,True,0,,0.02369
2026-06-13T08:49:26.523473+00:00,ibm_marrakesh,156,True,1,,0.02769
2026-06-13T08:49:26.523473+00:00,ibm_kingston,156,True,0,,0.01737
2026-06-13T13:43:28.011168+00:00,ibm_fez,156,True,0,,0.02323
2026-06-13T13:43:28.011168+00:00,ibm_marrakesh,156,True,0,,0.02885
2026-06-13T13:43:28.011168+00:00,ibm_kingston,156,True,1,,0.01716
2026-06-13T16:46:49.532149+00:00,ibm_fez,156,True,0,,0.02177
2026-06-13T16:46:49.532149+00:00,ibm_marrakesh,156,True,0,,0.02885
2026-06-13T16:46:49.532149+00:00,ibm_kingston,156,True,1,,0.01802
2026-06-13T19:12:59.972020+00:00,ibm_fez,156,True,0,,0.02327
2026-06-13T19:12:59.972020+00:00,ibm_marrakesh,156,True,1,,0.02483
